Content Category Type,Content Category,title,content file type,Lesson/ Chapter,description,thumb Image file name (must be unique) (with extension),content file name (must be unique) (with extension),is Published,view order,Tag 1,Tag 2,Tag 3,Tag 4
Pre-Primary,Amar  Boi,সংখ্যা প্রতিক লেখা ও পড়া-১৫,VIDEO,সংখ্যার ধারণা, ছোট ছোট গল্প শুনে নিজের মত করে বলতে পারবে। সংখ্যা প্রতীক ১৫ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ১৫ লিখতে পারবে।,EP 1_Pre-Primary.png,"EP 1, Pre-Primary.mp4",Yes,1,Number Symbol,সংখ্যা প্রতীক লেখা ও পড়া-১৫,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ছড়া- ভোর হলো দোর খোল প্রাক পঠন ও প্রাকলিখন ল, শ গোল দাগ দেই",VIDEO,বর্ণমালা পরিচিতি-ব্যঞ্জনবর্ণ,স্থানীয় লোকজন ও অন্যান্য শিশুতোষ ছড়া ও কবিতা আবৃত্তি করতে পারবে। ধ্বনির প্রতীক (বর্ণ) শনাক্ত করতে পারবে । শব্দ থেকে বর্ণ শনাক্ত করতে পারবে। ধ্বনির প্রতীক (বর্ণ) লিখতে পারবে। ,EP 2_Pre-Primary.png,"EP 2, Pre-Primary.mp4",Yes,2,Bhor Holo,"ছড়া- ভোর হলো দোর খোল প্রাক পঠন ও প্রাকলিখন ল, শ গোল দাগ দেই",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ব্যায়াম-৪ (হাত ও ঘাড়ের ব্যায়াম), সংখ্যা ছড়া পাঠ-২",VIDEO,ব্যায়াম,"বিভিন্ন শারীরিক কসরত করতে পারবে। ছড়া, গান, গল্প বলতে পারবে। অভিনয় ও অঙ্গভঙ্গির মাদ্যমে ছড়া কবিতা, গল্প উপস্থাপন করতে পারবে। পরিচিত বস্তু, ছবি বা দৃশ্যপট সম্পর্কে বলতে পারবে।",EP 3_Pre-Primary.png,"EP 3, Pre-Primary.mp4",Yes,3,Arm and neck exercise,"ব্যায়াম-৪ (হাত ও ঘাড়রে ব্যায়াম), সংখ্যা ছড়া পাঠ-২",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ব্যায়াম-৫, সৃজনশীল কাজ, -ছড়া (আয় আয় চাঁদ মামা) প্রাক পঠন ও প্রাক লিখন-ই,ঈ",VIDEO,বর্ণমালা পরিচিতি-স্বরবর্ণ,"বিভিন্ন শারীরিক কসরত করতে পারবে। ছড়া, গান, গল্প বলতে পারবে। অভিনয় ও অঙ্গভঙ্গির মাদ্যমে ছড়া কবিতা, গল্প উপস্থাপন করতে পারবে। শব্দ থেকে বর্ণ শনাক্ত করতে পারবে।",EP 4_Pre-Primary.png,"EP 4, Pre-Primary.mp4",Yes,4,Ai Ai Chad Mama,"ব্যায়াম-৫, সৃজনশীল কাজ, -ছড়া (আয় আয় চাঁদ মামা) প্রাক পঠন ও প্রাক লিখন-ই,ঈ",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ব্যায়ম-৬ (ঘাড়ের ব্যায়াম ও ঘাড় নেড়ে), ভাষার কাজ ছবি পড়া-২, প্রাক গণিত সংখ্যা প্রতীক লেখা-১ পাঠ-৪",VIDEO,সংখ্যার ধারণা সংখ্যা প্রতীক ১,"বিভিন্ন শারীরিক কসরত করতে পারবে। পরিচিত বস্ত, ছবি বা দৃশ্যপট সম্পর্কে বলতে পারবে। সংখ্যা প্রতীক (১) চিনতে ও বলতে পারবে।",EP 5_Pre-Primary.png,"EP 5, Pre-Primary.mp4",Yes,5,Neck exercises and neck movements,"ব্যায়ম-৬ (ঘাড়ের ব্যায়াম ও ঘাড় নেড়ে), ভাষার কাজ ছবি পড়া-২, প্রাক গণিত সংখ্যা প্রতীক লেখা-১ পাঠ-৪",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ব্যায়াম-৩, সৃজনশীল কাজ, -ছড়া ( আয় আয় চাঁদ মামা) সম্পূর্ণ প্রাক পঠন ও প্রাক লিখন-উ, ঊ এবং ঋ ",VIDEO,"বর্ণমালা পরিচিতি-স্বরবর্ণ উ, ঊ এবং ঋ ","বিভিন্ন শারীরিক কসরত করতে পারবে। ছড়া, গান, গল্প বলতে পারবে। অভিনয় ও অঙ্গভঙ্গির মাধ্যমে ছড়া কবিতা, গল্প উপস্থাপন করতে পারবে। শব্দ থেকে বর্ণ শনাক্ত করতে পারবে।",EP 6_Pre-Primary.png,"EP 6, Pre-Primary.mp4",Yes,6,Exercise 3,"ব্যায়াম-৩, সৃজনশীল কাজ, -ছড়া ( আয় আয় চাঁদ মামা) সম্পূর্ণ প্রাক পঠন ও প্রাক লিখন-উ, ঊ এবং ঋ ",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ছড়া লাল শাক, কচু শাক ... নিরাপদ পানি",VIDEO,"লাল শাক, কচু শাক ","ছড়া, গান, গল্প বলতে পারবে। অভিনয় ও অংগভঙ্গির মাধ্যমে ছড়া, কবিতা, গল্প উপস্থাপন করতে পারবে। স্থানীয়, লোকজ ও অন্যান্য শিশুতোষ ছড়া ও কবিতা আবৃত্তি করতে পারবে। নিরাপদ পানির উৎস বলতে পারবে।",EP 7_Pre-Primary.png,"EP 7, Pre-Primary.mp4",Yes,7,Lal Shak,"ছড়া লাল মাক, কচু শাক ... নিরাপদ পানি",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"১। ব্যায়াম - ২ (হাতের ব্যায়াম - ফুলকলি)। ২। ছড়া - বাকবাকুম পায়রা। ৩। প্রাক পঠন - া, আ। পাঠ : ১",VIDEO,"বর্ণমালা পরিচিতি-স্বরবর্ণ অ, আ। ","বিভিন্ন শারীরিক কসরত করতে পারবে। ছড়া, গান, গল্প বলতে পারবে। ধ্বনির প্রতীক (বর্ণ) শনাক্ত করতে পারবে। শব্দ থেকে বর্ণ শনাক্ত করতে পারবে। ",EP 8_Pre-Primary.png,"EP 8, Pre-Primary.mp4",Yes,8,Hand Exercises-Phulkali,"১। ব্যায়াম - ২ (হাতের ব্যায়াম - ফুলকলি)। ২। ছড়া - বাকবাকুম পায়রা। ৩। প্রাক পঠন - া, আ। পাঠ : ১",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,গল্প পৃথিবীর সবচেয়ে বড় পিঠা। ভাষার কাজ: শব্দ গঠন ,VIDEO,পৃথিবীর সবচেয়ে বড় পিঠা, ছোট ছোট গল্প শুনে নিজের মত করে বলতে পারবে। ধ্বনির প্রতীক (বর্ণ) শনাক্ত করতে পারবে।,EP 9_Pre-Primary.png,"EP 9, Pre-Primary.mp4",Yes,9,Word Formation,গল্প পৃথিবীর সবচেয়ে বড় পিঠা। ভাষার কাজ: শব্দ গঠন ,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ছড়া জাম, জামরুল, কদবেল খালি ঘওে বর্ণ লিখি পাঠ-৪২",VIDEO,"জাম, জামরুল, কদবেল ","ছড়া, গান, গল্প বলতে পারবে। অভিনয় ও অংগভঙ্গির মাধ্যমে ছড়া, কবিতা, গল্প উপস্থাপন করতে পারবে। ধ্বনির প্রতীক (বর্ণ) লিখতে পারবে।",EP 10_Pre-Primary.png,"EP 10, Pre-Primary.mp4",Yes,10,"Jam, Jamrul, Kadbel","ছড়া জাম, জামরুল, কদবেল খালি ঘওে বর্ন লিখি পাঠ-৪২",Amar  Boi,আমার  বই
