File Name,Size (MB)
"01_Science_Class 3_আমাদের পরিবেশ_Episode 1.mp4",184.04
"02_Science_Class 3_আমাদের পরিবেশ_Episode 2.mp4",202.21
"03_Science_Class 3_আমাদের পরিবেশ_Episode 3.mp4",76.91
"04_Science_Class 3_খাদ্য_Episode 1.mp4",84.64
"05_Science_Class 3_খাদ্য_Episode 2.mp4",105.85
"06_Science_Class 3_খাদ্য_Episode 3.mp4",236.49
"07_Science_Class 3_খাদ্য_Episode 4.mp4",163.66
"08_Science_Class 3_খাদ্য_Episode 5.mp4",216.02
"09_Science_Class 3_খাদ্য_Episode 6.mp4",131.45
"1. Bangla_Class-5_এই দেশ এই মানুষ_Episode-1.mp4",745.01
"1.Eng_Grade_4_Unit_1_Lesson_1-3.mp4",111.41
"1.mp4",450.40
"10.Class-5 Bangla-5_স্মরণীয় যারা চিরদিন_Episode-10.mp4",403.92
"10.Eng_Grade_4_Unit_16_Lesson_1-2.mp4",377.67
"100_Science_Class 4_মাটির গুরুত্ব_Episode 1.mp4",71.79
"101_Science_Class 4_মাটির গুরুত্ব_Episode 2.mp4",54.88
"102_Science_Class 4_মাটির গুরুত্ব_Episode 3.mp4",94.47
"103_Science_Class 4_মাটির গুরুত্ব_Episode 4.mp4",63.60
"104_Science_Class 4_স্বাস্থ্যবিধি_Episode 1.mp4",234.06
"105_Science_Class 4_স্বাস্থ্যবিধি_Episode 2.mp4",201.53
"106_Science_Class 4_স্বাস্থ্যবিধি_Episode 3.mp4",223.21
"107_Science_Class 4_স্বাস্থ্যবিধি_Episode 4.mp4",159.42
"108_Science_Class 5_Lesson 2_পরিবেশ দূষন_Episode 1.mp4",278.52
"108b_Science_Class 5_Lesson 2_পরিবেশ দূষন_Episode 5.mp4",308.42
"109_Science_Class 5_Lesson 3_জীবনের জন্য পানি_ Episode 1.mp4",98.31
"10_Science_Class 3_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode 1.mp4",216.38
"11.Bangla_Class-5_স্বদেশ_Episode-11.mp4",411.77
"11.Eng_Grade_4_Unit_16_Lesson_3-5.mp4",179.86
"110_Science_Class 5_Lesson 3_জীবনের জন্য পানি_ Episode 2.mp4",105.31
"111_Science_Class 5_আবহাওয়া ও জলবায়ু_Episode 1.mp4",181.36
"112_Science_Class 5_আবহাওয়া ও জলবায়ু_Episode 2.mp4",254.82
"113_Science_Class 5_আমাদের জীবনে তথ্য _Episode 1.mp4",68.88
"114_Science_Class 5_আমাদের জীবনে তথ্য _Episode 2.mp4",57.05
"115_Science_Class 5_আমাদের জীবনে প্রযুক্তি_Episode 1.mp4",187.22
"116_Science_Class 5_আমাদের জীবনে প্রযুক্তি_Episode 2.mp4",166.91
"117_Science_Class 5_আমাদের জীবনে প্রযুক্তি_Episode 3.mp4",167.46
"118_Science_Class 5_আমাদের জীবনে প্রযুক্তি_Episode 4.mp4",174.34
"119_Science_Class 5_আমাদের পরিবেশ_Episode 1.mp4",279.41
"11_Science_Class 3_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode 2.mp4",100.58
"12.Bangla_Class-5_কাঞ্চনমালা আর কাঁকনমালা_Episode-12.mp4",258.47
"12.Eng_Grade_4_Unit_17_Lesson_1-2.mp4",279.75
"120_Science_Class 5_আমাদের পরিবেশ_Episode 2.mp4",341.17
"121_Science_Class 5_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode 1.mp4",252.39
"122_Science_Class 5_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode 2.mp4",302.86
"123_Science_Class 5_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode 4.mp4",140.50
"124_Science_Class 5_জীবনের জন্য পানি_ Episode 1.mp4",98.31
"125_Science_Class 5_জীবনের জন্য পানি_ Episode 2.mp4",105.31
"126_Science_Class 5_জীবনের জন্য পানি_ Episode 3.mp4",241.60
"127_Science_Class 5_জীবনের জন্য পানি_ Episode 4.mp4",213.25
"128_Science_Class 5_জীবনের জন্য পানি_ Episode 5.mp4",199.61
"129_Science_Class 5_জীবনের জন্য পানি_ Episode 6.mp4",167.80
"12_Science_Class 3_জীব ও জড়_Episode 1.mp4",156.61
"13.Bangla_Class-5_অবাক জলপান_Episode-13.mp4",413.36
"13.Eng_Grade_4_Unit_17_Lesson_3-4.mp4",28.22
"130_Science_Class 5_পদার্থ ও শক্তি_Episode 1.mp4",127.89
"131_Science_Class 5_পদার্থ ও শক্তি_Episode 2.mp4",179.47
"132_Science_Class 5_পদার্থ ও শক্তি_Episode 3.mp4",132.13
"133_Science_Class 5_পদার্থ ও শক্তি_Episode 4.mp4",185.99
"134_Science_Class 5_পদার্থ ও শক্তি_Episode 5.mp4",148.54
"135_Science_Class 5_পদার্থ ও শক্তি_Episode 6.mp4",171.60
"136_Science_Class 5_পদার্থ ও শক্তি_Episode 7.mp4",175.87
"137_Science_Class 5_পদার্থ ও শক্তি_Episode 8.mp4",135.92
"138_Science_Class 5_পদার্থ ও শক্তি_Episode 9.mp4",195.22
"139_Science_Class 5_পরিবেশ দূষন_Episode 1.mp4",278.52
"14.Bangla_Class-5_ঘাসফুল_Episod 14.mp4",238.33
"14.Eng_Grade_4_Unit_18_Lesson_1-2.mp4",269.21
"140_Science_Class 5_প্রাকৃতিক সম্পদ_Episode 1.mp4",192.23
"141_Science_Class 5_প্রাকৃতিক সম্পদ_Episode 2.mp4",88.36
"142_Science_Class 5_প্রাকৃতিক সম্পদ_Episode 3.mp4",97.18
"143_Science_Class 5_বায়ু_Episode 1.mp4",90.43
"144_Science_Class 5_বায়ু_Episode 2.mp4",93.47
"145_Science_Class 5_মহাবিশ্ব_Episode 1.mp4",178.11
"146_Science_Class 5_মহাবিশ্ব_Episode 2.mp4",225.90
"147_Science_Class 5_মহাবিশ্ব_Episode 3.mp4",204.91
"148_Science_Class 5_মহাবিশ্ব_Episode 4.mp4",392.72
"149_Science_Class 5_মহাবিশ্ব_Episode 5.mp4",225.92
"15.Bangla_Class-5_মাটির নিচে যে শহর_Episode-15.mp4",623.18
"15.Eng_Grade_4_Unit_18_Lesson_3-4.mp4",174.79
"150_Science_Class 5_মহাবিশ্ব_Episode 6.mp4",181.80
"151_Science_Class 5_সুস্থ জীবনের জন্য খাদ্য Episode 1.mp4",264.70
"152_Science_Class 5_সুস্থ জীবনের জন্য খাদ্য Episode 2.mp4",288.34
"153_Science_Class 5_সুস্থ জীবনের জন্য খাদ্য Episode 3.mp4",231.70
"154_Science_Class 5_সুস্থ জীবনের জন্য খাদ্য Episode 4.mp4",247.91
"155_Science_Class 5_স্বাস্থবিধি_ Episode 1.mp4",266.07
"156_Science_Class 5_স্বাস্থবিধি_ Episode 2.mp4",248.15
"157_Science_Class 5_স্বাস্থবিধি_ Episode 3.mp4",224.06
"158_Science_Class 5_স্বাস্থবিধি_ Episode 4.mp4",261.92
"159_Science_Class-5_পরিবেশ দূষণ Episode 2.mp4",288.11
"16. Bangla_Class-5_শিক্ষাগুরুর মর্যাদা_Episode-16.mp4",300.78
"16.Eng_Grade_4_Unit_19_Lesson_1-2.mp4",85.36
"160_Science_Class-5_পরিবেশ দূষণ Episode 3.mp4",290.83
"161_Science_Class 5_আমাদের পরিবেশ_Episode 3.mp4",201.40
"162_Science_Class 5_আমাদের পরিবেশ_Episode 4.mp4",212.00
"163_Science_Class 5_আবহাওয়া ও জলবায়ু_Episode 4.mp4",102.65
"17. Eng_Grade_4_Unit_19_Lesson_3-5.mp4",63.04
"17.Bangla_Class-5_ভাবুক ছেলেটি_Episode-17.mp4",587.57
"18.Bangla_Class-5_দুই তীরে_Episode-18.mp4",302.49
"18.Eng_Grade_4_Unit_20_Lesson_1-2.mp4",60.73
"18_Science_Class 3_জীবনের জন্য পানি_Episode 1.mp4",264.85
"19.Bangla_Class-5_বিদায় হজ_Episode-19.mp4",547.78
"19.Eng_Grade_4_Unit_20_Lesson_3-4.mp4",382.50
"19_Science_Class 3_জীবনের জন্য পানি_Episode 2.mp4",182.00
"1_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 3.mp4",414.50
"2. Bangla_Class-5_সংকল্প_Episode-2.mp4",170.96
"2.Eng_Grade_4_Unit_3_Lesson_1-2.mp4",253.65
"20.Bangla_Class-5_দেখে এলাম নায়াগ্রা_ Episode-20.mp4",262.02
"20.Eng_Grade_4_Unit_21_Lesson_1-2.mp4",88.58
"20_Science_Class 3_জীবনের জন্য পানি_Episode 3.mp4",150.41
"21.Bangla_Class-5_রৌদ্র লেখে জয়_Episode-21.mp4",311.98
"21.Eng_Grade_4_Unit_21_Lesson_3-6.mp4",170.87
"21_Science_Class 3_জীবনের জন্য পানি_Episode 4.mp4",169.00
"22.Bangla_Class-5_মওলানা আব্দুল হামিদ খান ভাসানী_ Episode-22.mp4",396.58
"22.Eng_Grade_4_Unit_22_Lesson_1-2.mp4",345.11
"22_Science_Class 3_তথ্য ও যোগাযোগ_Episode 1.mp4",184.39
"23.Bangla_Class-5_শহিদ তিতুমীর_Episode-23.mp4",694.98
"23.Eng_Grade_4_Unit_22_Lesson_3-4.mp4",406.56
"23_Science_Class 3_তথ্য ও যোগাযোগ_Episode 2.mp4",212.45
"24.Bangla_Class 5_অপেক্ষা_Episode-24.mp4",283.55
"24.Eng_Grade_4_Unit_23_Lesson_1-3.mp4",281.10
"24_Science_Class 3_তথ্য ও যোগাযোগ_Episode 3.mp4",194.33
"25.Eng_Grade_4_Unit_23_Lesson_4-5.mp4",173.65
"25_Science_Class 3_প্রযুক্তির সঙ্গে পরিচয়_Episode 1.mp4",217.38
"26.Eng_Grade_4_Unit_24_Lesson_1-2.mp4",308.82
"26_Science_Class 3_প্রযুক্তির সঙ্গে পরিচয়_Episode 2.mp4",187.32
"27.Eng_Grade_4_Unit_24_Lesson_3-4.mp4",91.94
"27_Science_Class 3_প্রযুক্তির সঙ্গে পরিচয়_Episode 3.mp4",166.15
"28.Eng_Grade_4_Unit_25_Lesson_1-5.mp4",140.16
"29.Eng_Grade_4_Unit_26_Lesson_1-3.mp4",415.99
"3.Bangla_Class-5_সুন্দরবনের প্রাণী_Episode-3.mp4",502.82
"3.Eng_Grade_4_Unit_3_Lesson_3-5.mp4",132.60
"30.Eng_Grade_4_Unit_26_Lesson_4-6.mp4",183.87
"31.Eng_Grade_4_Unit_27_Lesson_1-2.mp4",464.07
"32.Eng_Grade_4_Unit_27_Lesson_3-5.mp4",227.65
"32_Science_Class 3_বিভিন্ন ধরনের পদার্থ_Episode 1.mp4",108.20
"33.Eng_Grade_4_Unit_28_Lesson_1-3.mp4",174.90
"33_Science_Class 3_বিভিন্ন ধরনের পদার্থ_Episode 2.mp4",99.16
"34.Eng_Grade_4_Unit_28_Lesson_4-6.mp4",246.22
"34_Science_Class 3_বিভিন্ন ধরনের পদার্থ_Episode 3.mp4",143.72
"35.Eng_Grade_4_Unit_29_Lesson_1-3.mp4",173.19
"35_Science_Class 3_মাটি_Episode 1.mp4",138.84
"36.Eng_Grade_4_Unit_29_Lesson_4-6.mp4",193.36
"36_Science_Class 3_মাটি_Episode 2.mp4",207.00
"37.Eng_Grade_4_Unit_30_Lesson_1-3.mp4",65.59
"37_Science_Class 3_মাটি_Episode 3.mp4",169.89
"38.Eng_Grade_4_Unit_30_Lesson_4-6.mp4",56.78
"38_Science_Class 3_শক্তি_Episode 1.mp4",256.47
"39.Eng_Grade_4_Unit_31_Lesson_1-2.mp4",155.62
"39_Science_Class 3_শক্তি_Episode 2.mp4",205.77
"4.Bangla_Class-5_হাতি আর শিয়ালের গল্প_Episode-4.mp4",214.84
"4.Eng_Grade_4_Unit_4_Lesson_1-2.mp4",278.31
"40.Eng_Grade_4_Unit_31_Lesson_3-4.mp4",133.66
"40_Science_Class 3_শক্তি_Episode 3.mp4",98.80
"41.Eng_Grade_4_Unit_32_Lesson_1-2.mp4",180.13
"41_Science_Class 3_স্বাস্থ্যবিধি_Episode 1.mp4",84.23
"42.Eng_Grade_4_Unit_32_Lesson_3-4.mp4",144.31
"42_Science_Class 3_স্বাস্থ্যবিধি_Episode 2.mp4",113.74
"43.Eng_Grade_4_Unit_34_Lesson_1-2.mp4",285.76
"43_Science_Class 3_স্বাস্থ্যবিধি_Episode 3.mp4",89.52
"44.Eng_Grade_4_Unit_34_Lesson_3-5.mp4",243.48
"45.Eng_Grade_4_Unit_36_Lesson_1-3.mp4",307.46
"46.Eng_Grade_4_Unit_41_Lesson_4-5.mp4",271.82
"47.Eng_Grade_4_Unit_42_Lesson_1-2.mp4",273.76
"48.Eng_Grade_4_Unit_42_Lesson_1.mp4",233.02
"49-2.mp4",643.82
"49.Eng_Grade_4_Unit_42_Lesson_3.mp4",328.69
"49.mp4",670.74
"5.Bangla_Class-5_ ফুটবল খেলোয়াড়_Episode-5.mp4",468.49
"5.Eng_Grade_4_Unit_4_Lesson_3-4.mp4",156.15
"50.Eng_Grade_4_Unit_42_Lesson_4.mp4",362.76
"51.Eng_Grade_4_Unit_42_Lesson_5-7.mp4",423.28
"51_Science_Class 4_আমাদের জীবনে তথ্য_Episode 1.mp4",248.37
"52_Science_Class 4_আমাদের জীবনে তথ্য_Episode 2.mp4",231.89
"53_Science_Class 4_আমাদের জীবনে তথ্য_Episode 3.mp4",277.66
"54_Science_Class 4_আমাদের জীবনে তথ্য_Episode 4.mp4",215.35
"55_Science_Class 4_আমাদের জীবনে তথ্য_Episode 5.mp4",105.60
"56_Science_Class 4_আমাদের জীবনে তথ্য_Episode 6.mp4",209.36
"57_Science_Class 4_আমাদের জীবনে প্রযুক্তি_Episode 1.mp4",73.96
"58_Science_Class 4_আমাদের জীবনে প্রযুক্তি_Episode 2.mp4",73.02
"59_Science_Class 4_আমাদের জীবনে প্রযুক্তি_Episode 3.mp4",63.52
"6.Bangla_Class-5_বীরের রক্তে স্বাধীন এ দেশ_Episode-6.mp4",394.80
"6.Eng_Grade_4_Unit_12_Lesson_1-2.mp4",116.34
"60_Science_Class 4_আমাদের জীবনে প্রযুক্তি_Episode 4.mp4",60.22
"61.mp4",642.43
"61_Science_Class 4_উদ্ভিদ ও প্রাণি_Episode 5.mp4",433.12
"62_Science_Class 4_উদ্ভিদ ও প্রাণী_Episode 1.mp4",233.21
"63_Science_Class 4_উদ্ভিদ ও প্রাণী_Episode 2.mp4",516.95
"64_Science_Class 4_উদ্ভিদ ও প্রাণী_Episode 3.mp4",217.89
"65_Science_Class 4_উদ্ভিদ ও প্রাণী_Episode 4.mp4",274.71
"66_Science_Class 4_খাদ্য_Episode 1.mp4",216.71
"67_Science_Class 4_খাদ্য_Episode 2.mp4",134.71
"68_Science_Class 4_খাদ্য_Episode 3.mp4",75.94
"69_Science_Class 4_খাদ্য_Episode 4.mp4",86.23
"7.Bangla_Class-5_ফেব্রুয়ারির গান_Episode-7.mp4",290.95
"7.Eng_Grade_4_Unit_14_Lesson_1-2.mp4",360.83
"70_Science_Class 4_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode1.mp4",54.65
"71_Science_Class 4_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode2.mp4",120.77
"72_Science_Class 4_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode3.mp4",103.33
"73_Science_Class 4_জনসংখ্যা ও প্রাকৃতিক পরিবেশ_Episode4.mp4",95.76
"74_Science_Class 4_জীব ও পরিবেশ_Episode 1.mp4",109.05
"75_Science_Class 4_জীব ও পরিবেশ_Episode 5.mp4",99.16
"76_Science_Class 4_জীব ও পরিবেশ_Episode2.mp4",99.35
"77_Science_Class 4_জীব ও পরিবেশ_Episode3.mp4",197.74
"78_Science_Class 4_জীব ও পরিবেশ_Episode4.mp4",244.42
"79_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 1.mp4",436.27
"8.Bangla_Class-5_শখের মৃৎশিল্প_Episode-8.mp4",324.14
"8.Eng_Grade_4_Unit_14_Lesson_3-4.mp4",148.04
"80_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 2.mp4",362.97
"82_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 4.mp4",328.97
"83_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 5.mp4",405.33
"84_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 6.mp4",290.76
"85_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 7.mp4",428.22
"86_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 8.mp4",433.16
"87_Science_Class 4_জীবনের নিরাপত্তা ও প্রাথমিক চিকিৎসা_Episode 9.mp4",426.21
