Content Tag ID,Name (in english) (must be unique),Name (in bengali) (must be unique),View order
(Meant to be incremented serially),Amar  Boi,আমার  বই,1
,Number Symbol,সংখ্যা প্রতীক লেখা ও পড়া-১৫,2
,Bhor Holo,"ছড়া- ভোর হলো দোর খোল প্রাক পঠন ও প্রাকলিখন ল, শ গোল দাগ দেই",3
,Arm and neck exercise,"ব্যায়াম-৪ (হাত ও ঘাড়ের ব্যায়াম), সংখ্যা ছড়া পাঠ-২",4
,Ai Ai Chad Mama,"ব্যায়াম-৫, সৃজনশীল কাজ, -ছড়া (আয় আয় চাঁদ মামা) প্রাক পঠন ও প্রাক লিখন-ই,ঈ",5
,Neck exercises and neck movements,"ব্যায়ম-৬ (ঘাড়ের ব্যায়াম ও ঘাড় নেড়ে), ভাষার কাজ ছবি পড়া-২, প্রাক গণিত সংখ্যা প্রতীক লেখা-১ পাঠ-৪",6
,Exercise 3,"প্রাক লিখন-উ, ঊ এবং ঋ ",7
,Lal Shak,"ছড়া লাল শাক, কচু শাক ... নিরাপদ পানি",8
,Hand Exercises-Phulkali,"১। ব্যায়াম - ২ (হাতের ব্যায়াম - ফুলকলি)। ২। ছড়া - বাকবাকুম পায়রা। ৩। প্রাক পঠন - া, আ। পাঠ : ১",9
,Word Formation,গল্প পৃথিবীর সবচেয়ে বড় পিঠা। ভাষার কাজ: শব্দ গঠন ,10
,"Jam, Jamrul, Kadbel","ছড়া জাম, জামরুল, কদবেল খালি ঘরে বর্ণ লিখি পাঠ-৪২",11
,Exercise 5,ব্যায়াম ৫ সৃজনশীল কাজ: গল্প-টিং এর কান্ড স্বর বর্ণেও ছড়া। পাঠ-১১,12
,Exercise 6,"ব্যায়াম-৬ (গাড়ের ব্যায়াম ও ঘাড় নেড়ে), ভাষার কাজ ছবি পড়া -২, প্রাক গনেত সংখ্যা প্রতীক লেখা-১ পাঠ-৪",13
,Hatti Ma Tim Tim,"ব্যায়াম ৫ সৃজনশীল কাজ: ছড়া- হাট্টি মা টিম টিম। প্রাক পঠন ও প্রাক লিখন - বর্ন এ,ঐ",14
,Khokon Khokon Dak Pari,"১। ব্যায়াম -৩, ২। সৃজনশীল কাজ ছড়া- খোকন খোকন ডাক পারি , ৩। প্রাক পঠন ও প্রাক লিখন - বর্ণ ও, ঔ পাঠ:৯",15
,Amra Shobai Raja,"গান ৭- আমরা সবাই রাজা ১ম ৬ লাইন প্রাকপঠন ও প্রাকলিখন ড, ঢ ফরিবেশ: গ্রীষ্ম, বর্ষা,  শীত",16
,Edur Chana,ছড়া-৮ (ইঁদুর ছানার ছড়া) পাঠ:৩৭,17
,Lal Jhuti ,"প্রাক গঠন ও প্রাক -লিখন ক,খ গান- লাল ঝুটি কাকাতুয়া (সম্পূর্ন) আসার পরিবেশ (গ্রাম ও শহর) পাঠ:১৩",18
,Aam Pata Jora Jora,"ভাষার কাজ: প্রাক - পঠন ও প্রাক - লিখন গ, ঘ। প্রাক পঠন - দেখে পার্থক্য বের করা (আমার বই ২৬-২৭)। সৃজনশীল কাজ: ছড়া -আম পাতা জোড়া পাঠ:১৫",19
,Kothai Amar Ma,"কোথায় আমার মা পাঠ্যাংশ: স্বাস্থ, হরেক রকম খাবার পাঠ-৪৮",20
,Kushir Ekdin Kushumpure,সৃজনশীল কাজ: গল্প-খুশির একদিন কুসুমপুরে। স্বাস্থ: হাত ধোয়া,21
